,0
0,292.03925187019627
1,301.4171609905186
2,272.606834982387
3,326.95430862161004
4,311.3987767385092
5,297.9472786351499
6,311.9952224321725
7,272.4228161039365
8,313.8705495466389
9,330.6537697191578
10,307.5906148522039
11,904.1576071881141
12,304.962629085079
13,279.118985982983
14,262.9994465385839
15,302.849593951725
16,282.5664154343073
17,1255.6928861246747
18,1260.1000421744036
19,273.663288175836
20,266.1092817976647
21,284.225640051149
22,318.2197886307691
23,489.68371669852297
24,341.4850841143177
25,311.6610964480472
26,296.2700927873915
27,324.1691142013166
28,282.57279035380384
29,301.45982935939685
30,397.8290834197715
31,349.9158279956964
32,296.3995213998494
33,285.0014090744164
34,256.77490940022614
35,301.0820469032391
36,341.3307802545148
37,282.4777853463323
38,279.83345671473586
39,279.70442340991895
40,309.26532028708874
41,285.06931298707235
42,390.83669701959417
43,270.39593523392097
44,297.3796368532401
45,287.8957188185704
46,311.2969515121622
47,320.79265968928206
48,287.26782505616717
49,334.72303415958913
50,333.8458953137301
51,300.2399948332247
52,303.15886233592573
53,383.9720916010489
54,332.56353550302055
55,359.7714194215024
56,298.0727048750492
57,344.75024942456133
58,320.3703030514673
59,323.91824301881877
60,333.2050833482441
61,316.13157779579853
62,287.8114309383506
63,269.5221146300587
64,340.50696898762084
65,303.58219046110423
66,365.59454044074977
67,290.87753602117675
68,198.82436813002295
69,272.0851030186492
70,957.8451511290696
71,285.1292592836214
72,282.71625157493975
73,284.19446697100034
74,291.90774146677416
75,295.2915571275132
76,284.1433016300368
77,312.2129404284451
78,286.0977136626528
79,294.03749703529843
80,432.04531347192165
81,1057.201552592541
82,283.9942585563027
83,282.20812949117163
84,321.10841087096196
85,323.1611541554293
86,319.54003208004656
87,300.01480529269935
88,302.57538027868907
89,240.74596737874967
90,1019.7375742291337
91,288.58952739808944
92,293.7758401756201
93,367.344169802246
94,305.35523906677236
95,239.8344788329024
96,291.11004707544976
97,358.6971596197515
98,321.47733361610346
99,342.5885857126566
100,308.66225367563754
101,356.22384467636385
102,291.00459718833235
103,276.32763072778107
104,268.8654915739567
105,282.5821844667451
106,345.6299342459479
107,298.79993163872285
108,264.05510294595314
109,275.0397092915945
110,302.2609375136832
111,287.46587430963655
112,273.06633783627177
113,336.46261265922215
114,290.9029475492222
115,306.331686141004
116,314.5480313130867
117,286.6762313751536
118,313.2005172804998
119,291.83296158493334
120,345.049881723299
121,278.33544533568124
122,297.87041064254083
123,312.3618510894
124,297.2541214755101
125,390.9982624157196
126,318.0222630207447
127,344.7056578033779
128,324.7196175118761
129,265.6008294754219
130,307.69579776099215
131,271.84330469312533
132,285.27230356433836
133,40.32172375507035
134,311.38903039376976
135,304.0928565400198
136,300.9520778176712
137,300.96428966948633
138,279.7759160984429
139,280.0680935416818
140,272.2306939885864
141,311.7740990876437
142,268.2117604328424
143,308.41150069903847
144,331.03001359603417
145,589.5630652428791
146,271.97855179460163
147,1347.4850064864613
148,385.8014331135247
149,268.6886085899535
150,334.3345596569784
151,279.82259233482387
152,411.4694586515483
153,276.5660673717994
154,285.4709328169846
155,1240.1695787472452
156,301.4764905940543
157,292.0368554783373
158,313.38600582881645
159,334.1429358319328
160,283.92081903370337
161,353.5606073435829
162,310.04570323691803
163,296.7078760082464
164,311.9193158994605
165,295.52714922142195
166,303.62835185094934
167,270.4284680753979
168,330.1900176547314
169,291.69828912418865
170,945.5609116192795
171,359.39623082302285
172,356.04478107902594
173,225.52925444561112
174,295.88610299217487
175,286.9656567069729
176,309.0829888913691
177,271.2677041119481
178,378.4059325376436
179,422.8444957164608
180,272.91685491030927
181,662.747238796448
182,276.34364836335135
183,380.5056615986191
184,308.09459209016484
185,351.5235310878094
186,326.83855878933116
187,293.98138787681444
188,278.9826332277989
189,426.0036650882754
190,587.5550180759212
191,288.47247604401036
192,274.7834553233598
193,273.6854855762752
194,278.59347718108853
195,283.150007234388
196,276.66233983986723
197,304.0906475122198
198,664.4706676423241
199,325.02159516009374
200,311.32349748663444
201,317.1323691875034
202,273.89666174867295
203,298.36927057780485
204,276.0267282834863
205,281.0516062010669
206,309.73009212005934
207,346.8295909046921
208,310.27143670196983
209,428.80574078644474
210,281.6538510983398
211,393.2698777241869
212,338.69543111099824
213,289.34399523749056
214,308.78815886411803
215,277.9946710518663
216,290.5685294567456
217,297.4947118808145
218,305.4504944893621
219,287.8718757833735
220,341.0527282843599
221,301.85687320334324
222,280.72428010859136
223,263.81624917209103
224,341.24823128269156
225,263.7846882552067
226,288.22605290355415
227,331.8275601774113
228,280.3230514059287
229,272.837080154127
230,290.1655520058671
231,396.95534698456345
232,386.5044325041071
233,293.439313876381
234,396.974759502844
235,300.9734666539449
236,301.828201050395
237,290.7936709063857
238,310.9170111327986
239,380.88957613533086
240,303.6659490521944
241,274.7586947180539
242,218.48472224589537
243,307.09809322068884
